year,pmdi,pmdi_center
959,1.6660332499118875,1.68
960,4.704848868996311,4.76
961,0.35446785592364366,0.36
962,1.5362153466572948,1.56
963,2.239372521868569,2.23
964,0.35017930862776925,0.33
965,0.7422664044751233,0.73
966,4.0669650325286675,4.03
967,2.8004280495173504,2.81
968,-0.42833361525819447,-0.48
969,-2.4257447832082533,-2.48
970,1.4107048782362261,1.41
971,0.1483438946772701,0.18
972,-3.56815702181736,-3.65
973,3.4638093315872847,3.37
974,1.0727142761636168,1.14
975,-2.7916898761188498,-2.84
976,-1.072590549004253,-1.15
977,1.74609592753927,1.76
978,-0.9810540975925475,-1.04
979,-0.8505647191049635,-0.89
980,-4.470427392809275,-4.53
981,-4.310179757819739,-4.42
982,0.09754679465979556,0.1
983,-0.77760402209624,-0.79
984,-2.263973027245122,-2.3
985,0.7892825123916899,0.82
986,2.3414944775480073,2.36
987,4.373814719691928,4.31
988,5.906890600708041,6.18
989,7.632233416358736,8.11
990,-0.07557682516288607,-0.11
991,-3.398054654625478,-3.5
992,-2.9858704442422894,-3.0
993,-2.6570680102705375,-2.72
994,0.4501291237323884,0.45
995,1.1306625176984488,1.09
996,1.5318361510491036,1.58
997,0.6333615407935975,0.59
998,0.18447665217285075,0.16
999,-2.380592707662536,-2.39
1000,1.4102830701306097,1.4
1001,-1.9547115874185572,-1.97
1002,-1.9013423657527364,-1.93
1003,-1.6635072577832206,-1.69
1004,-0.9638590047001214,-0.97
1005,-4.449794042067552,-4.49
1006,-0.8235714463616435,-0.86
1007,1.917200866735274,1.94
1008,0.6936178811563167,0.72
1009,-2.1029524765727854,-2.13
1010,-1.5586548456253475,-1.58
1011,-0.5437087096351633,-0.54
1012,-0.1899891174907619,-0.21
1013,-1.5013637892466651,-1.53
1014,-2.9776835714832353,-3.0
1015,0.15878275521330745,0.19
1016,1.8173497317439988,1.85
1017,0.948828686189541,0.96
1018,-0.6850503471892729,-0.74
1019,-2.4623400092569976,-2.54
1020,2.124539212655873,2.13
1021,0.8399754647365234,0.87
1022,-0.9908942691797779,-1.02
1023,0.17679042708469733,0.15
1024,3.70216726619715,3.6
1025,1.7383519711962327,1.73
1026,1.158432762508828,1.11
1027,-0.3447108592199305,-0.38
1028,0.6589802946706504,0.62
1029,1.7631884914501996,1.75
1030,-0.32176938179646586,-0.37
1031,-1.4650421267533345,-1.5
1032,-0.7313189011483077,-0.79
1033,0.1126793180683663,0.05
1034,0.662551507247851,0.63
1035,-3.404273248573597,-3.43
1036,-2.9734339041541498,-2.99
1037,-0.38619037110182586,-0.38
1038,-0.6186081770462314,-0.62
1039,-0.9667392970703284,-1.04
1040,-0.4133558657181944,-0.45
1041,-2.2887135209906635,-2.32
1042,0.7913064267932223,0.82
1043,-0.4293069126381685,-0.44
1044,-1.8956525073048136,-1.93
1045,0.4168985770194052,0.43
1046,-0.8738095926486206,-0.94
1047,0.8024037302665341,0.85
1048,-2.537543583618525,-2.57
1049,0.39124077241329025,0.4
1050,2.1357392521225087,2.16
1051,0.8308385254174804,0.82
1052,4.502569288812773,4.44
1053,1.4294645461149282,1.42
1054,1.2429250811968413,1.29
1055,-0.4038091881019038,-0.46
1056,0.4076079250865838,0.43
1057,1.154157948357721,1.19
1058,0.9659604988687004,0.99
1059,0.16847187626005924,0.15
1060,2.9747216965796377,2.92
1061,2.9532931608139186,2.92
1062,0.06127350033153329,0.06
1063,2.5252209945848336,2.58
1064,3.3280067088797645,3.34
1065,7.25183094498274,7.75
1066,2.431885715485962,2.42
1067,-3.7882803086847314,-3.86
1068,-2.698218188493702,-2.74
1069,0.0038240098510392753,-0.01
1070,1.4827710181585376,1.53
1071,-0.5022381463878327,-0.52
1072,2.0802051568031192,2.08
1073,0.28640919853182123,0.28
1074,0.06729043592016055,0.04
1075,-0.7167275786950412,-0.71
1076,1.6544931824079165,1.69
1077,1.551181880631891,1.58
1078,0.011370417332477633,0.01
1079,2.92231989917922,2.91
1080,3.254108302521777,3.26
1081,-1.0630380707724993,-1.12
1082,2.6584663630469527,2.61
1083,-0.7862640126375315,-0.78
1084,0.9110186167976635,0.96
1085,-2.505216489008605,-2.54
1086,-1.4808896280822734,-1.53
1087,3.425738118872887,3.47
1088,2.664152533912059,2.68
1089,0.45716444182995786,0.45
1090,-4.424798431507975,-4.44
1091,-3.3888036113623494,-3.43
1092,0.4508814890454201,0.48
1093,-1.1564474044221744,-1.17
1094,-0.750948942283027,-0.77
1095,0.4812887181590038,0.5
1096,1.4250323596210803,1.42
1097,-1.836977650369133,-1.87
1098,-1.6690854316032553,-1.71
1099,-3.1478425456530403,-3.14
1100,-0.03284336465500777,-0.01
1101,-0.24800396641593547,-0.27
1102,2.039722955369319,2.08
1103,0.6992217681347028,0.75
1104,0.03623912644525125,0.01
1105,0.20947715548701212,0.22
1106,0.04314350458439789,0.01
1107,-1.0172201855922556,-1.06
1108,-1.225972991600702,-1.25
1109,1.0235336276496476,1.04
1110,1.668364463423956,1.71
1111,-0.08800502767072783,-0.08
1112,1.681699814517656,1.72
1113,0.720571770114409,0.72
1114,1.085060374951268,1.12
1115,1.9410800172584481,1.99
1116,5.711427034650531,5.96
1117,4.460117009206084,4.41
1118,1.9754284719367046,1.99
1119,1.1291844711137842,1.13
1120,1.7988591303128638,1.74
1121,-2.007494054926941,-2.06
1122,1.9594280675916993,1.97
1123,-0.1334959349819901,-0.17
1124,1.7225534227456085,1.74
1125,0.4530140120505683,0.44
1126,-1.9922636252574633,-2.06
