year,total_population,total_monuments,total_exotics,total_conflicts,productivity,is_drought,pop_monument_builder,pop_balanced,pop_reproduction
828,0.0,0.0,0.0,0.0,0.7943978055016704,0.0,0.0,0.0,0.0
829,0.0,0.0,0.0,0.0,0.5090570093103222,1.0,0.0,0.0,0.0
830,0.0,0.0,0.0,0.0,0.5705822989396644,1.0,0.0,0.0,0.0
831,0.0,0.0,0.0,0.0,0.8343139943082261,0.0,0.0,0.0,0.0
832,0.0,0.0,0.0,0.0,0.7257998353931105,0.0,0.0,0.0,0.0
833,0.0,0.0,0.0,0.0,0.7064114333228111,0.0,0.0,0.0,0.0
834,0.0,0.0,0.0,0.0,0.6619783371272266,0.0,0.0,0.0,0.0
835,0.0,0.0,0.0,0.0,0.599215669416931,1.0,0.0,0.0,0.0
836,0.0,0.0,0.0,0.0,0.6954744563263968,0.0,0.0,0.0,0.0
837,0.0,0.0,0.0,0.0,0.5854929929622826,1.0,0.0,0.0,0.0
838,0.0,0.0,0.0,0.0,0.6828192750071475,0.0,0.0,0.0,0.0
839,0.0,0.0,0.0,0.0,0.6856236954551944,0.0,0.0,0.0,0.0
840,0.0,0.0,0.0,0.0,0.5469707734064074,1.0,0.0,0.0,0.0
841,0.0,0.0,0.0,0.0,0.6897665103391445,0.0,0.0,0.0,0.0
842,0.0,0.0,0.0,0.0,0.7481931143615971,0.0,0.0,0.0,0.0
843,0.0,0.0,0.0,0.0,0.8988180415183377,0.0,0.0,0.0,0.0
844,0.0,0.0,0.0,0.0,0.7093273694021566,0.0,0.0,0.0,0.0
845,0.0,0.0,0.0,0.0,0.72579250727648,0.0,0.0,0.0,0.0
846,0.0,0.0,0.0,0.0,0.6115561634396511,1.0,0.0,0.0,0.0
847,0.0,0.0,0.0,0.0,0.512226988106406,1.0,0.0,0.0,0.0
848,0.0,0.0,0.0,0.0,0.7026904175865788,0.0,0.0,0.0,0.0
849,0.0,0.0,0.0,0.0,0.666998463872349,0.0,0.0,0.0,0.0
850,349.0,1735.4236695503787,0.5,0.0,0.701829466308078,0.0,349.0,0.0,0.0
851,644.0,3441.5275922748556,2.0,0.0,0.640902327591909,1.0,644.0,0.0,0.0
852,643.0,3413.008794042676,4.0,0.0,0.7874394489376202,0.0,643.0,0.0,0.0
853,642.0,3384.7017118658628,6.0,0.0,0.7662354296144546,0.0,642.0,0.0,0.0
854,641.0,3356.9057985660284,8.0,0.0,0.8320645941773234,0.0,641.0,0.0,0.0
855,640.0,3328.9417480572856,9.0,0.0,0.7033210611595329,0.0,640.0,0.0,0.0
856,639.0,3301.433025811779,11.0,0.0,0.7683103131502865,0.0,639.0,0.0,0.0
857,590.0,3273.4157711023568,12.0,0.0,0.5993003026539694,1.0,590.0,0.0,0.0
858,589.0,3246.5037367451587,14.0,0.0,0.8516950516090867,0.0,589.0,0.0,0.0
859,588.0,3219.343991406912,15.0,0.0,0.7025373821660359,0.0,588.0,0.0,0.0
860,587.0,3192.4876620762957,16.0,0.0,0.7117202261046232,0.0,587.0,0.0,0.0
861,586.0,3165.893679209477,17.0,0.0,0.7099260473141367,0.0,586.0,0.0,0.0
862,586.0,3139.7452434933366,19.0,0.0,0.7617607722813226,0.0,586.0,0.0,0.0
863,586.0,3113.5903559063618,20.0,0.0,0.6844342995550999,0.0,586.0,0.0,0.0
864,542.0,3087.3701993647687,21.0,0.0,0.6472574364995861,1.0,542.0,0.0,0.0
865,541.0,3061.5213773010487,22.0,0.0,0.6787532265303624,0.0,541.0,0.0,0.0
866,540.0,3036.0361960423884,23.0,0.0,0.7091002927419254,0.0,540.0,0.0,0.0
867,499.0,3010.1052996360672,24.0,0.0,0.5783450372591399,1.0,499.0,0.0,0.0
868,461.0,2984.259028735018,25.0,0.0,0.5707884834952406,1.0,461.0,0.0,0.0
869,461.0,2959.398949297538,27.0,0.0,0.7808112120836974,0.0,461.0,0.0,0.0
870,426.0,2934.1011952204576,28.0,0.0,0.639894780922103,1.0,426.0,0.0,0.0
871,426.0,2909.4249477407507,29.0,0.0,0.7462523730152095,0.0,426.0,0.0,0.0
872,426.0,2884.7368681213757,30.0,0.0,0.6716218926500006,0.0,426.0,0.0,0.0
873,426.0,2860.5209273501096,31.0,0.0,0.7366314314425133,0.0,426.0,0.0,0.0
874,426.0,2836.249480782791,32.0,0.0,0.6507251677295582,0.0,426.0,0.0,0.0
875,394.0,2811.9576601264944,33.0,0.0,0.6176548777867763,1.0,394.0,0.0,0.0
876,394.0,2788.6190658514925,35.0,0.0,0.8226500220095567,0.0,394.0,0.0,0.0
877,394.0,2764.9663695660392,36.0,0.0,0.6646448407104786,0.0,394.0,0.0,0.0
878,364.0,2740.938634610427,37.0,0.0,0.5310039653819224,1.0,364.0,0.0,0.0
879,364.0,2717.5838332018916,38.0,0.0,0.6558686688509616,0.0,364.0,0.0,0.0
880,364.0,2694.5665692571715,39.0,0.0,0.6858800540544483,0.0,364.0,0.0,0.0
881,365.0,2671.894898475224,40.0,0.0,0.7191904503967685,0.0,365.0,0.0,0.0
882,338.0,2648.9288416104637,41.0,0.0,0.6116571774866965,1.0,338.0,0.0,0.0
883,313.0,2626.112193282027,42.0,0.0,0.6170678463688204,1.0,313.0,0.0,0.0
884,290.0,2603.12963502176,43.0,0.0,0.5319087078075572,1.0,290.0,0.0,0.0
885,290.0,2580.9087092572536,44.0,0.0,0.6853883364247056,0.0,290.0,0.0,0.0
886,290.0,2559.1605694118994,46.0,0.0,0.7577048332520648,0.0,290.0,0.0,0.0
887,290.0,2537.6880904147547,48.0,0.0,0.7744954392423538,0.0,290.0,0.0,0.0
888,290.0,2516.291051835176,49.0,0.0,0.7342979291685471,0.0,290.0,0.0,0.0
889,268.0,2494.6457312150287,50.0,0.0,0.6437488883706318,1.0,268.0,0.0,0.0
890,268.0,2473.8091600446355,52.0,0.0,0.8146857551968266,0.0,268.0,0.0,0.0
891,268.0,2452.7553681969134,53.0,0.0,0.6918614004974928,0.0,268.0,0.0,0.0
892,248.0,2431.3608883165903,54.0,0.0,0.561348860503857,1.0,248.0,0.0,0.0
893,248.0,2410.978928193095,56.0,0.0,0.7918178238587941,0.0,248.0,0.0,0.0
894,248.0,2390.4035739578608,57.0,0.0,0.6771818316586345,0.0,248.0,0.0,0.0
895,248.0,2370.0039264798706,58.0,0.0,0.6685103208048538,0.0,248.0,0.0,0.0
896,248.0,2350.2667003086844,60.0,0.0,0.8008118596285289,0.0,248.0,0.0,0.0
897,248.0,2330.7095667544236,62.0,0.0,0.7958249491562117,0.0,248.0,0.0,0.0
898,248.0,2311.3919844723396,64.0,0.0,0.8085175715614548,0.0,248.0,0.0,0.0
899,248.0,2292.931064627616,66.0,0.0,1.0,0.0,248.0,0.0,0.0
900,248.0,2273.537050575475,67.0,0.0,0.677430474497905,0.0,248.0,0.0,0.0
901,315.02,2417.810399399896,68.0,0.05,0.5360567889698831,1.0,265.24,22.0,27.78
902,364.83,2487.556311809478,69.0,0.32,0.7253037310846989,0.0,281.46,36.4,46.97
903,327.04,2466.9679084004542,70.0,0.58,0.6409446455760898,1.0,257.74,31.25,38.05
904,323.89,2446.807150265208,71.0,0.77,0.6969562286604171,0.0,255.53,30.3,38.06
