year,total_population,total_monuments,total_exotics,total_conflicts,productivity,is_drought,pop_monument_builder,pop_balanced,pop_reproduction
894,285,2918.4488348309314,261,0,0.6771818316586344,False,285,0,0
895,286,2906.865064313744,267,0,0.6685103208048538,False,286,0,0
896,287,2898.6061053258964,274,0,0.8008118596285289,False,287,0,0
897,288,2890.3087784144213,281,0,0.7958249491562117,False,288,0,0
898,289,2882.4022843285006,288,0,0.8085175715614548,False,289,0,0
899,290,2879.2687614852152,297,0,1.0,False,290,0,0
900,291,2868.34265002931,303,0,0.6774304744979052,False,291,0,0
901,361,3019.83646139664,307,0,0.5360567889698831,True,361,0,0
902,385,3102.4837404080877,314,1,0.7253037310846989,False,385,0,0
903,356,3092.5129998172206,319,1,0.6409446455760898,True,356,0,0
904,357,3084.330463810131,325,1,0.696956228660417,False,357,0,0
905,343,3079.948084543711,332,2,0.8219444153084783,False,343,0,0
906,367,3157.0191105533586,337,2,0.5447653312517049,True,319,48,0
907,338,3141.9730759887743,341,2,0.477494197240644,True,295,43,0
908,395,3277.268744616953,348,3,0.7996793143243848,False,290,105,0
909,384,3273.201744946793,355,4,0.8106400663632432,False,284,100,0
910,371,3266.36764705423,361,5,0.7272854062511386,False,277,94,0
911,371,3262.4069795189216,368,5,0.8206481728924734,False,277,94,0
912,342,3255.0825907338162,374,7,0.7212466619355733,False,268,74,0
913,335,3246.2786554344098,380,8,0.6682650168984279,False,260,75,0
914,336,3237.958308560591,386,8,0.6802184804069094,False,260,76,0
915,426,3395.2049229182385,393,9,0.7193999581764409,False,258,67,101
916,407,3387.4907091393193,400,11,0.7175070012057132,False,248,63,96
917,400,3383.6490903147046,408,12,0.8414745305101041,False,244,58,98
918,369,3378.5342882285913,416,13,0.8080714739685936,False,236,59,74
919,371,3373.3374489468565,424,13,0.7816999671494678,False,237,59,75
920,326,3363.031249247292,430,15,0.6381435406824432,True,215,51,60
921,328,3353.4783541026673,436,15,0.6662939467356112,False,216,51,61
922,287,3340.983919163409,442,17,0.5821958174640463,True,199,37,51
923,256,3329.069501373555,448,18,0.6031701361970389,True,185,28,43
924,233,3314.710860623601,453,18,0.5297947571151969,True,173,25,35
925,229,3307.3635411777354,460,19,0.7357521913421782,False,173,23,33
926,215,3301.745802238738,468,22,0.7894446378811801,False,169,22,24
927,214,3292.8052080416737,475,24,0.6789223769517875,False,167,22,25
928,211,3288.3739690028597,483,26,0.8091804416625015,False,166,19,26
929,209,3282.488508249443,491,28,0.7625831298943633,False,164,18,27
930,190,3270.8185244258475,497,29,0.5927020937648981,True,150,17,23
931,188,3262.6840802875504,504,32,0.694396537390193,False,150,14,24
932,190,3256.4559286892068,512,32,0.7389466273229912,False,151,14,25
933,191,3250.566663334498,520,34,0.7469753260241452,False,151,14,26
934,192,3241.4700359259523,527,35,0.6521693725995558,False,151,14,27
935,174,3232.266145669525,534,37,0.6492891589118898,True,140,12,22
936,174,3225.0467659052374,541,38,0.7093154904298383,False,140,12,22
937,152,3214.8182235268555,547,40,0.622123559200421,True,129,10,13
938,148,3209.6377752054655,555,43,0.7486639003256447,False,125,10,13
939,144,3202.512378642832,563,44,0.6917690641085394,False,124,10,10
940,203,3302.454951112798,571,46,0.7091091763451248,False,185,10,8
941,203,3300.508642167213,580,47,0.7833031491602471,False,185,10,8
942,203,3297.3979821763314,588,48,0.7524842869621603,False,185,10,8
943,203,3292.4150668393,596,49,0.7029330543770679,False,185,10,8
944,201,3287.682983101707,604,51,0.708165857825684,False,183,10,8
945,180,3285.101076721766,613,53,0.7654879582181414,False,163,10,7
946,290,3472.3717232801705,624,55,0.8347699630167362,False,273,10,7
947,338,3549.272002501352,633,55,0.7088663605625001,False,273,58,7
948,325,3546.7313320397475,642,58,0.7221629298894223,False,267,51,7
949,325,3549.050769450901,653,58,0.8334686058660926,False,267,51,7
950,313,3545.668350165811,662,60,0.7038726503650518,False,261,45,7
951,288,3536.482797435105,669,62,0.5729115835494972,True,241,42,5
952,286,3531.168022439211,678,67,0.6554292895784616,False,240,41,5
953,273,3527.615321570105,687,72,0.6956372863961909,False,237,31,5
954,242,3516.952094080317,693,74,0.53351840219359,True,215,23,4
955,219,3510.4575425619987,701,78,0.6269425171986095,True,197,18,4
956,195,3513.299923218863,712,81,0.8329862656083812,False,173,18,4
957,164,3507.239342602474,720,86,0.632342654341972,True,143,17,4
958,153,3499.2652393906405,727,89,0.5847778213589236,True,133,16,4
959,154,3500.318297099995,739,90,0.7833016624955943,False,134,16,4
960,155,3508.208757244667,753,90,0.9352424434498154,False,135,16,4
961,152,3506.2167835546957,763,94,0.7177233927961821,False,134,15,3
962,147,3507.2235780634874,775,97,0.7768107673328647,False,129,15,3
963,142,3509.8213935151466,787,101,0.8119686260934285,False,124,15,3
964,136,3508.130829600213,797,106,0.7175089654313884,False,118,15,3
965,136,3507.443597453956,808,109,0.7371133202237561,False,118,15,3
966,136,3514.3747195507617,821,112,0.9033482516264333,False,118,15,3
967,202,3653.643255692929,833,115,0.8400214024758674,False,111,88,3
968,199,3649.8233442259148,842,120,0.6785833192370903,False,110,86,3
969,183,3641.4157552213064,850,124,0.5787127608395872,True,102,78,3
970,155,3641.9594467667594,861,128,0.7705352439118113,False,94,58,3
971,155,3639.776257363857,871,130,0.7074171947338634,False,94,58,3
972,137,3628.717687866582,878,133,0.521592148909132,True,81,53,3
973,124,3634.367241711432,890,137,0.8731904665793642,False,78,43,3
974,113,3634.5114058019003,901,143,0.7536357138081808,False,76,34,3
975,105,3625.5835125575672,909,146,0.5604155061940574,True,71,31,3
976,99,3620.824653340665,918,155,0.6463704725497873,True,67,29,3
977,99,3622.8838323990085,930,157,0.7873047963769635,False,67,29,3
978,99,3618.3718393957774,939,161,0.6509472951203725,False,67,29,3
979,98,3614.218400178588,949,165,0.6574717640447518,False,67,28,3
980,88,3601.3621304596168,956,170,0.4764786303595362,True,61,24,3
981,79,3589.053774321833,963,176,0.484491012109013,True,57,19,3
982,79,3587.7382277573784,973,181,0.7048773397329897,False,57,19,3
983,79,3584.310992354255,983,183,0.6611197988951879,False,57,19,3
984,73,3577.3091625198867,992,185,0.5868013486377438,True,53,17,3
985,74,3577.6624669429484,1003,188,0.7394641256195844,False,54,17,3
986,74,3581.767524131732,1015,192,0.8170747238774003,False,54,17,3
987,72,3590.7483485144494,1029,198,0.9186907359845964,False,52,17,3
988,71,3603.34835429573,1044,205,0.995344530035402,False,51,17,3
989,71,3616.047620752772,1059,208,1.0,False,51,17,3
990,668,6601.316113477661,1075,213,0.6962211587418556,False,648,17,3
991,620,6574.992593427783,1087,216,0.5300972672687261,True,601,16,3
992,575,6550.159976477579,1099,221,0.5507064777878855,True,556,16,3
993,534,6526.46545166553,1112,228,0.5671465994864731,True,515,16,3
994,531,6513.755084388655,1128,233,0.7225064561866194,False,512,16,3
995,530,6503.525658194265,1145,241,0.7565331258849224,False,511,16,3
996,641,6678.941906173209,1163,247,0.7765918075524552,False,510,16,115
997,642,6666.369151763554,1179,254,0.7316680770396798,False,510,16,116
998,686,6868.844629164967,1196,261,0.7092238326086425,False,584,16,86
999,629,6847.095562288858,1210,268,0.5809703646168731,True,541,16,72
1000,628,6839.876864054093,1229,273,0.7705141535065304,False,541,15,72
1001,536,6819.430876466094,1243,282,0.6022644206290722,True,469,15,52
1002,491,6799.192189810294,1257,286,0.6049328817123631,True,434,14,43
1003,527,6960.838344810442,1271,296,0.6168246371108389,True,484,13,30
1004,527,6946.135794254365,1287,306,0.6518070497649939,False,483,13,31
1005,540,7027.73041698681,1298,316,0.47751029789662236,True,505,12,23
1006,528,7014.994066876657,1314,320,0.6588214276819178,False,493,12,23
1007,518,7013.769020308574,1335,333,0.7958600433367636,False,488,12,18
1008,519,7008.015594044709,1354,341,0.7346808940578158,False,489,12,18
1009,464,6990.298710751703,1370,353,0.5948523761713607,True,437,12,15
1010,431,6974.852475710474,1386,359,0.6220672577187326,True,406,12,13
1011,418,6963.734600878523,1404,370,0.6728145645182418,False,393,12,13
1012,419,6954.26655543483,1422,377,0.6905005441254619,False,394,12,13
1013,373,6939.124835861848,1438,388,0.6249318105376667,True,352,12,9
1014,339,6917.934445508337,1453,394,0.5511158214258381,True,319,12,8
1015,338,6910.206980407048,1472,402,0.7079391377606653,False,318,12,8
1016,456,7104.989176480059,1493,407,0.7908674865871999,False,319,129,8
1017,451,7100.956894839812,1514,420,0.747441434309477,False,314,129,8
1018,586,7332.010218872229,1533,427,0.6657474826405363,False,450,129,7
1019,488,7314.601403640764,1542,440,0.57688299953715,True,367,114,7
1020,740,8614.080311607326,1559,451,0.8062269606327936,False,619,114,7
1021,837,8777.460416499584,1575,465,0.7419987732368262,False,615,216,6
1022,771,8761.190225822287,1589,480,0.650455286541011,False,589,176,6
1023,768,8751.413286262676,1605,492,0.7088395213542348,False,587,175,6
1024,739,8759.913983541961,1628,501,0.8851083633098574,False,558,175,6
1025,737,8758.078999866993,1646,514,0.7869175985598116,False,556,175,6
1026,738,8753.235318241248,1666,529,0.7579216381254413,False,557,175,6
1027,739,8740.59400193365,1683,547,0.6827644570390035,False,558,175,6
1028,697,8733.120140781928,1702,563,0.7329490147335325,False,540,151,6
1029,684,8731.385736582068,1722,571,0.78815942457251,False,526,152,6
1030,684,8718.78566544138,1741,586,0.6839115309101766,False,525,153,6
1031,611,8699.947968519793,1758,601,0.6267478936623332,True,485,120,6
1032,599,8685.128518717353,1777,614,0.6634340549425846,False,480,113,6
1033,598,8674.81324421765,1798,624,0.7056339659034183,False,479,113,6
1034,661,8821.630729719021,1821,642,0.7331275753623925,False,471,113,77
1035,647,9017.9207338369,1838,670,0.5297863375713201,True,505,76,66
1036,577,8991.15357541433,1856,683,0.5513283047922924,True,465,69,43
1037,564,8979.23733516981,1879,706,0.6806904814449086,False,457,64,43
1038,519,8966.18901702933,1900,721,0.6690695911476884,False,422,64,33
1039,517,8951.484325437756,1921,736,0.6516630351464835,False,419,64,34
1040,490,8939.855725873464,1944,752,0.6793322067140902,False,399,59,32
1041,449,8917.316164665053,1964,762,0.5855643239504668,True,372,55,22
1042,446,8912.13348464003,1989,776,0.7395653213396611,False,372,56,18
1043,441,8900.444628398833,2013,793,0.6785346543680916,False,366,57,18
1044,394,8880.483038524502,2034,810,0.6052173746347593,True,327,51,16
1045,393,8873.187221082406,2059,829,0.7208449288509702,False,327,50,16
1046,394,8858.653125992321,2081,848,0.656309520367569,False,327,51,16
1047,391,8853.499217723742,2107,865,0.7401201865133267,False,324,51,16
1048,354,8829.797909804094,2127,880,0.5731228208190737,True,292,48,14
1049,349,8822.46931305555,2150,894,0.7195620386206645,False,290,47,12
1050,347,8824.924894860296,2176,913,0.8067869626061254,False,288,48,11
1051,346,8820.378929907181,2201,928,0.741541926270874,False,287,48,11
1052,346,8836.344797027308,2234,943,0.9251284644406386,False,287,48,11
1053,333,8835.114082387823,2261,959,0.7714732273057464,False,283,40,10
1054,329,8833.747374203498,2288,976,0.762146254059842,False,281,38,10
1055,328,8822.540411042313,2312,992,0.6798095405949047,False,280,38,10
1056,328,8815.957067661066,2336,1007,0.7203803962543291,False,280,38,10
1057,324,8813.540941166144,2362,1020,0.757707897417886,False,276,38,10
1058,290,8810.003581649737,2387,1036,0.748298024943435,False,242,38,10
1059,288,8802.067489206533,2410,1050,0.7084235938130029,False,241,37,10
1060,288,8809.8137522356,2439,1075,0.8487360848289819,False,241,37,10
1061,287,8817.36340810052,2468,1093,0.8476646580406959,False,241,37,9
1062,365,8938.778631296362,2492,1111,0.7030636750165766,False,241,115,9
1063,408,9020.172864480573,2521,1131,0.8262610497292416,False,284,115,9
1064,588,9353.443062243508,2553,1152,0.8664003354439882,False,388,191,9
1065,533,9381.827131621074,2590,1188,1.0,False,345,179,9
1066,519,9388.536619543453,2620,1207,0.821594285774298,False,330,180,9
1067,480,9357.863882383026,2638,1231,0.5105859845657634,True,309,162,9
1068,494,9468.003265719213,2658,1264,0.5650890905753149,True,276,142,76
1069,462,9460.761026349364,2684,1291,0.7001912004925519,False,271,130,61
1070,434,9462.028248988958,2714,1329,0.7741385509079268,False,249,123,62
1071,425,9451.601886064493,2740,1356,0.6748880926806083,False,244,118,63
1072,397,9457.040091824332,2772,1382,0.8040102578401559,False,229,104,64
1073,396,9451.984093978379,2800,1409,0.714320459926591,False,229,103,64
1074,516,9678.983781734272,2828,1432,0.703364521796008,False,229,102,185
1075,1059,12453.6470345947,2858,1459,0.6641636210652478,False,783,90,186
1076,999,12444.868756416994,2894,1492,0.7827246591203958,False,759,65,175
1077,1113,12649.510252305328,2932,1524,0.7775590940315945,False,876,59,178
1078,1217,12834.682797230847,2967,1551,0.7005685208666238,False,987,59,171
1079,1176,12842.438002956873,3009,1591,0.846115994958961,False,975,59,142
1080,1248,13080.301479249129,3053,1626,0.8627054151260888,False,1060,49,139
1081,1113,13058.604914715177,3086,1657,0.646848096461375,True,956,40,117
1082,1125,13196.601586566145,3129,1694,0.8329233181523477,False,920,35,170
1083,1112,13176.41672753339,3163,1740,0.6606867993681234,False,915,30,167
1084,1068,13169.851780570152,3203,1789,0.7455509308398831,False,898,28,142
1085,964,13135.964442566134,3232,1824,0.5747391755495697,True,820,26,118
1086,869,13110.38046654336,3265,1862,0.6259555185958863,True,745,26,98
1087,867,13124.961496979702,3312,1892,0.8712869059436443,False,741,26,100
1088,823,13133.359800611614,3357,1931,0.8332076266956029,False,719,24,80
1089,887,13285.892972858577,3397,1967,0.7228582220914979,False,805,24,58
1090,809,13238.453857219954,3421,2009,0.4787600784246012,True,735,24,50
1091,707,13199.710362500839,3448,2057,0.5305598194318825,True,645,24,38
1092,656,13194.95327589244,3490,2094,0.722544074452271,False,594,24,38
1093,582,13176.047595919812,3526,2138,0.6421776297788913,True,525,24,33
1094,577,13160.812491305684,3563,2185,0.6624525528858486,False,523,24,30
1095,572,13156.905094449174,3604,2236,0.7240644359079501,False,519,24,29
1096,554,13160.853524173188,3648,2283,0.771251617981054,False,503,24,27
1097,506,13136.542324791033,3682,2320,0.6081511174815433,True,459,24,23
1098,569,13308.13217715454,3717,2356,0.6165457284198372,True,425,24,120
1099,515,13271.85497840767,3748,2406,0.5426078727173479,True,389,24,102
1100,516,13263.224159805373,3788,2450,0.6983578317672495,False,389,24,103
1101,510,13252.756735271538,3828,2495,0.6875998016792032,False,385,24,101
1102,510,13261.836957905596,3875,2538,0.8019861477684659,False,384,24,102
1103,509,13259.194380336265,3918,2579,0.7349610884067351,False,382,24,103
1104,508,13250.616857965733,3959,2623,0.7018119563222626,False,380,24,104
1105,509,13243.625785245482,4001,2666,0.7104738577743506,False,380,24,105
1106,510,13235.263758001489,4042,2706,0.7021571752292198,False,380,24,106
1107,453,13217.55245056378,4080,2753,0.6491389907203872,True,353,24,76
1108,420,13198.770712222702,4117,2799,0.6387013504199649,True,331,24,65
1109,421,13199.573663573101,4161,2830,0.7511766813824823,False,332,24,65
1110,404,13206.116834950908,4207,2883,0.7834182231711978,False,327,24,53
1111,396,13197.895474926574,4247,2922,0.6955997486164636,False,325,24,47
1112,397,13204.804611031796,4294,2970,0.7840849907258828,False,325,24,48
1113,397,13203.46612082481,4338,3008,0.7360285885057204,False,324,24,49
1114,399,13205.330873993986,4382,3057,0.7542530187475633,False,325,24,50
1115,399,13215.141971209598,4430,3110,0.7970540008629223,False,325,24,50
1116,401,13257.621291025414,4490,3158,0.9855713517325265,False,326,24,51
1117,400,13288.980403608102,4546,3206,0.9230058504603041,False,325,24,51
1118,401,13297.96989449983,4594,3255,0.7987714235968352,False,325,24,52
1119,401,13299.450934761628,4639,3302,0.7564592235556892,False,325,24,52
1120,401,13306.787834036943,4686,3355,0.7899429565156432,False,325,24,52
1121,365,13280.584159438757,4722,3395,0.5996252972536529,True,303,24,38
1122,366,13290.12933854792,4770,3441,0.7979714033795849,False,304,24,38
1123,363,13281.138312479314,4812,3482,0.6933252032509004,False,304,24,35
1124,364,13288.824327480661,4859,3534,0.7861276711372804,False,305,24,35
1125,564,14281.127687279286,4904,3583,0.7226507006025283,False,505,24,35
1126,527,14250.930571143363,4941,3630,0.6003868187371268,True,471,24,32
