start_year,min_pmdi,total_deficit,end_year,duration,mean_pmdi
984,-2.263973027245122,-2.263973027245122,984,1,-2.263973027245122
991,-3.398054654625478,-9.040993109138304,993,3,-3.013664369712768
999,-2.380592707662536,-2.380592707662536,999,1,-2.380592707662536
1001,-1.9547115874185572,-5.519561210954514,1003,3,-1.839853736984838
1005,-4.449794042067552,-4.449794042067552,1005,1,-4.449794042067552
1009,-2.1029524765727854,-3.661607322198133,1010,2,-1.8308036610990666
1013,-2.9776835714832353,-4.479047360729901,1014,2,-2.2395236803649503
1019,-2.4623400092569976,-2.4623400092569976,1019,1,-2.4623400092569976
1031,-1.4650421267533345,-1.4650421267533345,1031,1,-1.4650421267533345
1035,-3.404273248573597,-6.377707152727747,1036,2,-3.1888535763638735
1041,-2.2887135209906635,-2.2887135209906635,1041,1,-2.2887135209906635
1044,-1.8956525073048136,-1.8956525073048136,1044,1,-1.8956525073048136
1048,-2.537543583618525,-2.537543583618525,1048,1,-2.537543583618525
1067,-3.7882803086847314,-6.486498497178434,1068,2,-3.243249248589217
1081,-1.0630380707724993,-1.0630380707724993,1081,1,-1.0630380707724993
1085,-2.505216489008605,-3.9861061170908787,1086,2,-1.9930530585454393
1090,-4.424798431507975,-7.813602042870325,1091,2,-3.9068010214351623
1093,-1.1564474044221744,-1.1564474044221744,1093,1,-1.1564474044221744
1097,-3.1478425456530403,-6.653905627625429,1099,3,-2.2179685425418096
1107,-1.225972991600702,-2.243193177192958,1108,2,-1.121596588596479
1121,-2.007494054926941,-2.007494054926941,1121,1,-2.007494054926941
1126,-1.9922636252574633,-1.9922636252574633,1126,1,-1.9922636252574633
1131,-2.969033636485111,-4.115782152224001,1132,2,-2.0578910761120004
1134,-2.301834118406986,-3.616003300202749,1135,2,-1.8080016501013745
1138,-1.394357988026068,-1.394357988026068,1138,1,-1.394357988026068
1140,-2.264803611664916,-2.264803611664916,1140,1,-2.264803611664916
1146,-4.306746869770851,-16.76260591727265,1151,6,-2.7937676528787754
1154,-1.4647186294553427,-1.4647186294553427,1154,1,-1.4647186294553427
1156,-3.3366547283801316,-7.9991439441704015,1158,3,-2.666381314723467
1161,-2.330453070222351,-2.330453070222351,1161,1,-2.330453070222351
1166,-2.606462172049118,-2.606462172049118,1166,1,-2.606462172049118
1168,-3.0052278748320056,-4.152381380534813,1169,2,-2.0761906902674063
1174,-2.0295091730792665,-3.456034895375648,1175,2,-1.728017447687824
1177,-2.387721813118864,-2.387721813118864,1177,1,-2.387721813118864
1182,-1.7601820788727698,-1.7601820788727698,1182,1,-1.7601820788727698
1186,-3.3658272562341636,-4.373386696011319,1187,2,-2.1866933480056594
1214,-4.348494207614867,-13.226015683250216,1218,5,-2.6452031366500433
1221,-1.3374927598877062,-1.3374927598877062,1221,1,-1.3374927598877062
1227,-3.442602897315,-3.442602897315,1227,1,-3.442602897315
1233,-2.1167255276760075,-3.4857642728275096,1234,2,-1.7428821364137548
1236,-1.5129378260902016,-1.5129378260902016,1236,1,-1.5129378260902016
1240,-1.9606280713130595,-1.9606280713130595,1240,1,-1.9606280713130595
1246,-2.1740362086909437,-3.782150852097889,1247,2,-1.8910754260489444
1251,-4.239882199068842,-6.177637882759827,1252,2,-3.0888189413799134
1254,-4.225495403987513,-4.225495403987513,1254,1,-4.225495403987513
1258,-3.7418604882734128,-3.7418604882734128,1258,1,-3.7418604882734128
1273,-2.4797263371728637,-4.704252580555189,1274,2,-2.3521262902775946
1276,-2.7033463859882967,-6.422582535075865,1278,3,-2.1408608450252884
1280,-2.3394810589816344,-3.6704278336055456,1281,2,-1.8352139168027728
1283,-1.7995781735174678,-1.7995781735174678,1283,1,-1.7995781735174678
1285,-1.5632968394240754,-2.9833978931998066,1286,2,-1.4916989465999033
1288,-2.450394601364584,-2.450394601364584,1288,1,-2.450394601364584
1292,-1.4088155645306357,-1.4088155645306357,1292,1,-1.4088155645306357
1295,-2.6320674707068226,-2.6320674707068226,1295,1,-2.6320674707068226
1307,-1.8537988630290183,-1.8537988630290183,1307,1,-1.8537988630290183
1316,-4.379654207092477,-4.379654207092477,1316,1,-4.379654207092477
1335,-1.5019849981851903,-1.5019849981851903,1335,1,-1.5019849981851903
1338,-1.8965526495991614,-1.8965526495991614,1338,1,-1.8965526495991614
1347,-2.151259326390496,-3.4430249124324446,1348,2,-1.7215124562162223
1350,-2.298123457024512,-4.867799995471795,1352,3,-1.6225999984905985
1355,-1.3080631992176042,-1.3080631992176042,1355,1,-1.3080631992176042
1360,-2.645328173636494,-10.091467880852685,1364,5,-2.018293576170537
1369,-1.0027391986054508,-1.0027391986054508,1369,1,-1.0027391986054508
1375,-2.982127999052004,-4.646757986064532,1376,2,-2.323378993032266
1389,-2.843277484821818,-5.265865794172126,1391,3,-1.7552885980573754
1397,-3.619756808068802,-7.6510296427196005,1400,4,-1.9127574106799001
1402,-1.4501961540463628,-2.5987789504861305,1403,2,-1.2993894752430653
1407,-1.09041097971857,-1.09041097971857,1407,1,-1.09041097971857
1411,-1.2437419234992084,-1.2437419234992084,1411,1,-1.2437419234992084
1413,-2.1789449577927424,-2.1789449577927424,1413,1,-2.1789449577927424
1415,-1.2150043889361457,-2.2493210240613153,1416,2,-1.1246605120306576
1419,-1.0163431217325347,-1.0163431217325347,1419,1,-1.0163431217325347
1421,-1.7097371476872727,-1.7097371476872727,1421,1,-1.7097371476872727
1423,-2.101724673433043,-2.101724673433043,1423,1,-2.101724673433043
1437,-2.4949576568305822,-5.183662597483844,1439,3,-1.7278875324946146
1442,-1.4237678704420031,-1.4237678704420031,1442,1,-1.4237678704420031
1445,-2.4152033400728063,-3.6606114413019935,1446,2,-1.8303057206509967
1448,-2.4271012246388604,-5.895302342829504,1450,3,-1.9651007809431682
1455,-3.879389385159801,-7.31661594667651,1457,3,-2.4388719822255034
1460,-1.6580274756656173,-3.2049798804452854,1461,2,-1.6024899402226427
1464,-3.018454284265923,-4.695160403217482,1465,2,-2.347580201608741
1471,-3.821332445730846,-6.814349344162219,1473,3,-2.2714497813874064
1475,-2.4453576552724696,-2.4453576552724696,1475,1,-2.4453576552724696
1480,-2.8083798698863376,-2.8083798698863376,1480,1,-2.8083798698863376
1487,-1.0413502357641493,-1.0413502357641493,1487,1,-1.0413502357641493
1495,-4.314192304875643,-6.81003040736949,1496,2,-3.405015203684745
1500,-3.996074584940148,-3.996074584940148,1500,1,-3.996074584940148
